ID,Severity,Start_Time,Start_Lat,Start_Lng,City,State,Weather_Condition,Temperature(F),Visibility(mi),Junction,Traffic_Signal,Hour,Day_of_Week
A-24,2,2016-02-09 06:10:59,39.85798,-84.28181,Dayton,OH,Light Snow,23.0,2.0,False,False,6,Tuesday
A-25,2,2016-02-09 06:46:32,39.15267,-84.5395,Cincinnati,OH,Light Snow,21.0,1.5,False,False,6,Tuesday
A-26,2,2016-02-09 07:18:10,39.30732,-85.95982,Edinburgh,IN,Cloudy,19.0,2.0,False,False,7,Tuesday
A-27,4,2016-02-09 07:28:15,39.77572,-84.04815,Fairborn,OH,Light Snow,23.0,1.5,False,False,7,Tuesday
A-28,2,2016-02-09 07:25:40,39.97643,-83.12306,Columbus,OH,Light Snow,21.2,1.5,False,False,7,Tuesday
A-29,3,2016-02-09 07:44:49,39.58595,-85.82518,Shelbyville,IN,Light Snow,21.9,1.5,False,False,7,Tuesday
A-30,3,2016-02-09 07:48:40,39.3638,-85.51659000000002,Greensburg,IN,Light Snow,19.4,2.0,False,False,7,Tuesday
A-31,3,2016-02-09 07:48:40,39.45132,-85.62516,Saint Paul,IN,Light Snow,21.2,3.0,False,False,7,Tuesday
A-32,2,2016-02-09 08:00:16,39.75067,-84.14148,Dayton,OH,Light Snow,22.5,1.2,False,False,8,Tuesday
A-33,3,2016-02-09 08:02:55,39.2675,-81.49929,Parkersburg,WV,Light Snow,24.1,1.0,False,False,8,Tuesday
A-34,2,2016-02-09 08:18:58,39.86025,-85.96623000000002,Indianapolis,IN,Overcast,19.4,5.0,False,False,8,Tuesday
A-35,2,2016-02-09 09:07:19,41.95677,-83.67214,Dundee,MI,Light Snow,30.2,1.2,False,False,9,Tuesday
A-36,3,2016-02-09 10:07:49,38.27401,-85.74844,Jeffersonville,IN,Overcast,23.0,10.0,False,False,10,Tuesday
A-37,2,2016-02-09 11:09:49,41.95677,-83.67214,Dundee,MI,Light Snow,31.8,2.5,False,False,11,Tuesday
A-38,2,2016-02-09 11:28:49,40.52225,-80.06666,Pittsburgh,PA,Light Snow,30.0,1.5,False,False,11,Tuesday
A-39,2,2016-02-09 12:31:08,40.487814,-80.009439,Pittsburgh,PA,Light Snow,28.9,1.0,False,False,12,Tuesday
A-40,4,2016-02-09 15:33:59,40.156298,-83.018431,Lewis Center,OH,Light Snow,26.6,2.0,False,False,15,Tuesday
A-41,2,2016-02-09 17:12:40,41.47461,-81.71181999999997,Cleveland,OH,Light Snow,30.9,1.0,False,False,17,Tuesday
A-42,2,2016-02-09 17:13:58,41.0618,-81.54608,Akron,OH,Light Snow,28.9,2.5,False,False,17,Tuesday
A-43,4,2016-02-09 18:20:58,40.45112,-85.15048,Dunkirk,IN,Light Snow,19.9,2.0,False,False,18,Tuesday
A-44,4,2016-02-09 18:20:58,40.35429,-85.14993,Redkey,IN,Light Snow,19.9,2.0,False,False,18,Tuesday
A-45,4,2016-02-09 22:37:48,39.75855,-85.13715,Milton,IN,Light Snow,23.0,3.0,False,False,22,Tuesday
A-46,4,2016-02-09 22:37:48,39.74408,-85.13749,Milton,IN,Light Snow,23.0,3.0,False,False,22,Tuesday
A-47,4,2016-02-10 06:17:32,39.965148,-83.020499,Columbus,OH,Light Snow,15.8,4.0,False,False,6,Wednesday
A-48,4,2016-02-10 06:18:49,40.72813,-84.78965,Willshire,OH,Light Snow,17.1,2.5,False,False,6,Wednesday
A-49,2,2016-02-10 06:29:48,39.85223,-85.25846999999997,Straughn,IN,Light Snow,12.2,2.0,False,False,6,Wednesday
A-50,2,2016-02-10 08:19:15,41.46747,-81.75909,Cleveland,OH,Light Snow,19.9,8.0,False,False,8,Wednesday
A-51,2,2016-02-10 08:35:27,41.83193,-80.10143000000002,Cambridge Springs,PA,Light Snow,21.0,1.0,False,False,8,Wednesday
A-52,2,2016-02-10 08:44:31,39.744287,-84.204939,Dayton,OH,Light Snow,14.0,3.0,False,False,8,Wednesday
A-53,3,2016-02-10 08:39:16,39.71548,-84.22033,Dayton,OH,Light Snow,14.0,1.5,False,False,8,Wednesday
A-54,2,2016-02-10 08:39:16,39.7504,-84.20561,Dayton,OH,Light Snow,15.3,2.0,False,False,8,Wednesday
A-55,2,2016-02-10 08:48:06,41.72316,-84.96444,Fremont,IN,Unknown,17.6,2.0,False,False,8,Wednesday
A-56,2,2016-02-10 09:06:09,40.04376,-82.99708000000003,Columbus,OH,Light Snow,15.8,1.0,False,False,9,Wednesday
A-57,2,2016-02-10 09:06:09,38.1781,-85.71946,Louisville,KY,Mostly Cloudy,17.1,10.0,False,False,9,Wednesday
A-58,2,2016-02-10 09:08:29,38.18577,-85.80678,Louisville,KY,Mostly Cloudy,17.1,10.0,False,False,9,Wednesday
A-59,3,2016-02-10 09:08:29,38.27191,-85.80838,Louisville,KY,Mostly Cloudy,17.1,10.0,False,False,9,Wednesday
A-60,2,2016-02-10 09:18:13,39.923905,-82.87008,Columbus,OH,Light Snow,15.8,1.0,False,False,9,Wednesday
A-61,2,2016-02-10 09:34:38,41.035566,-81.569917,Akron,OH,Light Snow,21.0,1.5,True,False,9,Wednesday
A-62,3,2016-02-10 10:18:13,39.9239,-83.68767,South Charleston,OH,Light Snow,15.8,2.0,False,False,10,Wednesday
A-63,2,2016-02-10 10:21:52,41.851914,-80.175232,Edinboro,PA,Light Snow,24.1,0.8,False,False,10,Wednesday
A-64,2,2016-02-10 10:47:49,39.93849,-82.84849,Columbus,OH,Light Snow,17.1,1.5,False,False,10,Wednesday
A-65,2,2016-02-10 11:09:08,38.96943,-80.1096,Buckhannon,WV,Light Snow,15.8,6.0,False,False,11,Wednesday
A-66,2,2016-02-10 11:55:16,41.66805,-83.57063000000002,Toledo,OH,Overcast,21.9,10.0,False,False,11,Wednesday
A-67,2,2016-02-10 12:54:39,41.48339,-81.66297,Cleveland,OH,Light Snow,24.1,2.0,False,False,12,Wednesday
A-68,3,2016-02-10 13:34:10,41.50127,-81.4804,Cleveland,OH,Light Snow,24.8,1.5,False,False,13,Wednesday
A-69,4,2016-02-10 13:59:39,39.789093,-82.989106,Lockbourne,OH,Light Snow,18.0,1.5,False,False,13,Wednesday
A-70,4,2016-02-10 14:57:58,41.67073,-81.24561,Painesville,OH,Light Snow,19.4,3.0,False,False,14,Wednesday
A-71,4,2016-02-10 14:59:15,41.70846,-81.17636,Painesville,OH,Light Snow,19.4,3.0,False,False,14,Wednesday
A-72,2,2016-02-10 15:31:15,41.44246,-81.78485,Cleveland,OH,Light Snow,21.9,5.0,False,False,15,Wednesday
A-73,2,2016-02-10 15:31:15,39.77128,-84.1923,Dayton,OH,Overcast,16.0,10.0,False,False,15,Wednesday
A-74,2,2016-02-10 15:31:15,41.50499,-81.47417,Cleveland,OH,Overcast,21.2,7.0,False,False,15,Wednesday
A-75,4,2016-02-10 16:06:41,40.109653,-80.2029,Washington,PA,Overcast,19.4,3.0,False,False,16,Wednesday
A-76,2,2016-02-10 17:01:25,38.38852,-81.7687,Dunbar,WV,Light Snow,21.0,9.0,False,False,17,Wednesday
A-77,2,2016-02-10 17:30:32,41.03572,-81.57809,Akron,OH,Light Snow,19.9,3.0,False,False,17,Wednesday
A-78,2,2016-02-10 21:05:16,41.47487,-81.72095,Cleveland,OH,Light Snow,21.9,1.8,False,False,21,Wednesday
A-79,4,2016-02-11 05:25:17,41.62845,-84.80559000000002,Angola,IN,Overcast,12.2,9.0,False,False,5,Thursday
A-80,4,2016-02-11 05:25:17,41.62894,-84.80373,Edon,OH,Overcast,12.2,9.0,False,False,5,Thursday
A-81,3,2016-02-11 05:35:40,41.16102,-81.78573,Medina,OH,Light Snow,14.0,9.0,False,False,5,Thursday
A-82,4,2016-02-11 06:25:19,41.628232,-84.808858,Angola,IN,Overcast,12.2,10.0,False,False,6,Thursday
A-83,4,2016-02-11 06:25:19,41.62986,-84.76619000000002,Edon,OH,Overcast,12.2,10.0,False,False,6,Thursday
A-84,2,2016-02-11 06:26:40,39.74729,-84.21426,Dayton,OH,Scattered Clouds,7.0,10.0,False,False,6,Thursday
A-85,2,2016-02-11 06:35:24,41.42099,-81.69051999999998,Cleveland,OH,Overcast,17.1,10.0,False,False,6,Thursday
A-86,3,2016-02-11 06:53:49,41.42318,-81.84674,Cleveland,OH,Mostly Cloudy,14.0,9.0,False,False,6,Thursday
A-87,3,2016-02-11 06:53:49,38.79691,-84.48273,De Mossville,KY,Overcast,12.0,10.0,False,False,6,Thursday
A-88,3,2016-02-11 06:53:49,38.80878,-84.49638,De Mossville,KY,Overcast,12.0,10.0,False,False,6,Thursday
A-89,3,2016-02-11 07:22:41,38.30155,-85.85499,New Albany,IN,Overcast,21.0,10.0,False,False,7,Thursday
A-90,2,2016-02-11 07:20:03,38.33667,-81.65623000000002,Charleston,WV,Mostly Cloudy,16.0,10.0,False,False,7,Thursday
A-91,2,2016-02-11 07:20:03,38.33614,-81.65623000000002,Charleston,WV,Mostly Cloudy,16.0,10.0,False,False,7,Thursday
A-92,2,2016-02-11 07:29:07,41.0961,-81.58593,Akron,OH,Light Snow,12.0,2.0,True,False,7,Thursday
A-93,3,2016-02-11 07:45:24,41.12155,-85.18715999999998,Fort Wayne,IN,Mostly Cloudy,15.1,10.0,False,False,7,Thursday
A-94,3,2016-02-11 07:45:23,38.829993,-80.667067,Burnsville,WV,Cloudy,12.0,10.0,False,False,7,Thursday
A-95,2,2016-02-11 07:47:57,40.05642,-83.03097,Columbus,OH,Overcast,9.0,10.0,False,False,7,Thursday
A-96,2,2016-02-11 07:47:57,41.37717,-81.5139,Bedford,OH,Overcast,18.0,10.0,False,False,7,Thursday
A-97,2,2016-02-11 07:58:15,39.17397,-84.49031,Cincinnati,OH,Clear,15.1,10.0,False,False,7,Thursday
A-98,2,2016-02-11 08:28:42,39.75513,-84.16614,Dayton,OH,Mostly Cloudy,9.1,10.0,False,False,8,Thursday
A-99,2,2016-02-11 08:40:21,39.17397,-84.49031,Cincinnati,OH,Clear,17.1,10.0,False,False,8,Thursday
A-100,2,2016-02-11 08:42:57,41.12624,-81.65299,Akron,OH,Unknown,12.0,9.0,False,False,8,Thursday
A-101,2,2016-02-11 08:47:51,38.33667,-81.65623000000002,Charleston,WV,Scattered Clouds,17.1,10.0,False,False,8,Thursday
A-102,2,2016-02-11 08:50:25,41.10389,-81.5,Akron,OH,Unknown,12.0,9.0,False,False,8,Thursday
A-103,2,2016-02-11 09:06:59,39.16417,-84.45275,Cincinnati,OH,Clear,17.1,10.0,False,False,9,Thursday
A-104,2,2016-02-11 09:37:48,40.11184,-83.00883,Columbus,OH,Overcast,15.1,10.0,False,False,9,Thursday
A-105,2,2016-02-11 09:41:40,38.31922,-85.75301999999998,Clarksville,IN,Clear,23.0,10.0,True,True,9,Thursday
A-106,3,2016-02-11 10:33:42,39.09881,-84.50801,Cincinnati,OH,Scattered Clouds,19.0,10.0,True,False,10,Thursday
A-107,3,2016-02-11 10:33:42,41.473859,-81.708409,Cleveland,OH,Overcast,19.0,9.0,False,False,10,Thursday
A-108,2,2016-02-11 11:42:07,41.039988,-81.565332,Akron,OH,Light Snow,16.0,2.0,False,False,11,Thursday
A-109,3,2016-02-11 12:02:32,41.73565,-84.99082,Fremont,IN,Mostly Cloudy,17.6,10.0,False,False,12,Thursday
A-110,2,2016-02-11 11:58:42,39.26566,-84.43965,Cincinnati,OH,Clear,21.0,10.0,False,False,11,Thursday
A-111,2,2016-02-11 12:12:31,41.46981,-81.81104,Lakewood,OH,Light Snow,16.0,2.0,False,False,12,Thursday
A-112,2,2016-02-11 13:25:43,41.25666,-81.63157,Richfield,OH,Light Snow,17.1,2.0,False,False,13,Thursday
A-113,2,2016-02-11 13:30:58,40.58919,-80.09885,Sewickley,PA,Mostly Cloudy,16.0,10.0,False,False,13,Thursday
A-114,2,2016-02-11 13:56:40,41.06356,-81.49078,Akron,OH,Overcast,19.0,10.0,False,True,13,Thursday
A-115,2,2016-02-11 13:56:40,41.06218,-81.50595,Akron,OH,Overcast,19.0,10.0,False,False,13,Thursday
A-116,2,2016-02-11 14:53:15,39.17736,-84.4873,Cincinnati,OH,Partly Cloudy,25.0,10.0,False,False,14,Thursday
A-117,2,2016-02-11 15:08:42,38.33956,-81.60991999999997,Charleston,WV,Mostly Cloudy,23.0,10.0,True,False,15,Thursday
A-118,2,2016-02-11 15:34:43,41.47889,-81.6934,Cleveland,OH,Light Snow,19.9,9.0,False,False,15,Thursday
A-119,2,2016-02-11 16:56:28,40.58919,-80.09885,Sewickley,PA,Mostly Cloudy,17.1,10.0,False,False,16,Thursday
A-120,2,2016-02-11 17:02:59,41.41119000000001,-81.64414000000002,Independence,OH,Light Snow,19.9,9.0,False,False,17,Thursday
A-121,2,2016-02-11 17:15:22,39.24907,-84.44561999999998,Cincinnati,OH,Clear,25.0,10.0,False,False,17,Thursday
A-122,2,2016-02-11 17:15:22,39.28775,-84.40073000000002,Cincinnati,OH,Scattered Clouds,25.0,10.0,False,False,17,Thursday
A-123,2,2016-02-11 17:16:39,41.47379,-81.89631,Westlake,OH,Light Snow,18.0,2.5,False,False,17,Thursday
A-124,2,2016-02-11 17:16:39,41.54941,-81.60676,Cleveland,OH,Light Snow,19.9,9.0,False,False,17,Thursday
A-125,2,2016-02-11 18:01:57,39.03347,-84.603,Erlanger,KY,Scattered Clouds,24.1,10.0,False,False,18,Thursday
A-126,2,2016-02-11 18:34:41,39.74903,-84.20106,Dayton,OH,Mostly Cloudy,18.0,10.0,True,False,18,Thursday
A-127,2,2016-02-11 18:33:23,39.89473,-83.044,Grove City,OH,Mostly Cloudy,16.5,10.0,False,False,18,Thursday
A-128,2,2016-02-11 19:11:02,39.19641,-84.47331,Cincinnati,OH,Clear,21.0,10.0,True,False,19,Thursday
A-129,2,2016-02-11 19:12:21,39.22461,-84.45364000000002,Cincinnati,OH,Clear,21.0,10.0,False,False,19,Thursday
A-130,2,2016-02-11 19:16:19,39.15306,-84.44283,Cincinnati,OH,Clear,21.0,10.0,False,False,19,Thursday
A-131,2,2016-02-11 19:21:41,39.97262,-82.98368,Columbus,OH,Mostly Cloudy,17.1,10.0,False,False,19,Thursday
A-132,4,2016-02-11 19:57:31,40.535447,-80.03596,Pittsburgh,PA,Scattered Clouds,12.9,10.0,False,False,19,Thursday
A-133,4,2016-02-11 19:57:31,40.529455,-80.03506999999998,Pittsburgh,PA,Scattered Clouds,12.9,10.0,False,False,19,Thursday
A-134,2,2016-02-11 19:58:48,41.49647,-81.67733,Cleveland,OH,Light Snow,19.0,9.0,False,False,19,Thursday
A-135,2,2016-02-11 20:09:17,41.0634,-81.49079,Akron,OH,Clear,9.0,10.0,False,False,20,Thursday
A-136,2,2016-02-11 20:58:41,39.74284,-84.20479,Dayton,OH,Scattered Clouds,17.1,10.0,True,False,20,Thursday
A-137,2,2016-02-12 10:07:44,41.46822,-81.9476,Westlake,OH,Overcast,17.1,10.0,False,False,10,Friday
A-138,4,2016-02-12 16:15:51,41.92479,-83.36026,Monroe,MI,Mostly Cloudy,23.0,10.0,False,False,16,Friday
A-139,4,2016-02-12 19:29:53,41.184738,-80.432713,West Middlesex,PA,Light Snow,17.6,9.0,False,False,19,Friday
A-140,4,2016-02-12 22:22:57,40.27317,-85.5577,Gaston,IN,Scattered Clouds,16.0,10.0,False,False,22,Friday
A-141,4,2016-02-12 22:26:48,39.98264,-85.14301999999998,Economy,IN,Partly Cloudy,16.0,10.0,False,False,22,Friday
A-142,4,2016-02-12 22:28:05,40.27317,-85.5577,Gaston,IN,Partly Cloudy,16.0,10.0,False,False,22,Friday
A-143,4,2016-02-12 22:28:05,40.42667,-85.54968000000002,Fairmount,IN,Scattered Clouds,15.3,10.0,False,False,22,Friday
A-144,4,2016-02-12 22:26:48,39.97527,-85.14018,Hagerstown,IN,Partly Cloudy,16.0,10.0,False,False,22,Friday
A-145,2,2016-02-12 23:04:14,39.09889,-84.52118,Cincinnati,OH,Light Snow,19.9,2.5,False,False,23,Friday
A-146,2,2016-02-12 23:04:14,38.88012,-84.62527,Walton,KY,Overcast,19.9,10.0,False,False,23,Friday
A-147,2,2016-02-12 23:04:14,38.79256,-84.60423,Crittenden,KY,Overcast,19.9,10.0,False,False,23,Friday
A-148,4,2016-02-13 04:56:20,39.74284,-84.20479,Dayton,OH,Overcast,10.0,10.0,True,False,4,Saturday
A-149,3,2016-02-13 07:14:41,40.484222,-80.13755400000002,Coraopolis,PA,Partly Cloudy,6.1,10.0,False,False,7,Saturday
A-150,3,2016-02-13 09:13:49,41.20104,-80.06859,Grove City,PA,Scattered Clouds,7.0,10.0,False,False,9,Saturday
A-151,4,2016-02-13 16:00:59,39.05528,-84.39072,Cincinnati,OH,Clear,19.9,10.0,False,False,16,Saturday
A-152,4,2016-02-13 18:06:41,41.623325,-83.692226,Holland,OH,Overcast,15.1,10.0,False,False,18,Saturday
A-153,3,2016-02-13 18:48:40,40.53024,-80.00957,Pittsburgh,PA,Scattered Clouds,7.0,10.0,False,True,18,Saturday
A-154,4,2016-02-13 22:20:43,40.06527,-82.99591,Columbus,OH,Clear,8.1,10.0,True,False,22,Saturday
A-155,4,2016-02-14 03:58:33,40.43954,-80.00971,Pittsburgh,PA,Clear,5.0,10.0,True,False,3,Sunday
A-156,4,2016-02-14 05:26:58,41.422004,-81.730092,Cleveland,OH,Scattered Clouds,3.0,10.0,False,False,5,Sunday
A-157,4,2016-02-14 16:30:40,39.3638,-85.51659000000002,Greensburg,IN,Snow,17.6,0.8,False,False,16,Sunday
A-158,4,2016-02-14 16:38:40,39.82083,-85.7749,Greenfield,IN,Overcast,17.6,1.0,False,False,16,Sunday
A-159,3,2016-02-14 17:40:17,40.0366,-85.72561999999998,Anderson,IN,Unknown,35.1,10.0,False,False,17,Sunday
A-160,4,2016-02-14 18:02:32,39.855691,-84.29079200000002,Englewood,OH,Light Snow,15.1,0.8,False,False,18,Sunday
A-161,3,2016-02-14 18:03:51,40.049152,-85.682047,Anderson,IN,Unknown,35.1,10.0,False,False,18,Sunday
A-162,4,2016-02-14 18:25:41,39.83939,-85.55752,Knightstown,IN,Overcast,17.6,10.0,False,False,18,Sunday
A-163,4,2016-02-15 02:01:29,40.13386,-80.00666,Bentleyville,PA,Overcast,19.4,10.0,False,False,2,Monday
A-164,4,2016-02-15 03:06:11,40.43954,-80.00971,Pittsburgh,PA,Overcast,21.9,10.0,True,False,3,Monday
A-165,4,2016-02-15 04:32:48,40.13386,-80.00666,Bentleyville,PA,Overcast,19.4,10.0,False,False,4,Monday
A-166,4,2016-02-15 05:10:51,40.13386,-80.00666,Bentleyville,PA,Overcast,21.2,10.0,False,False,5,Monday
A-167,2,2016-02-15 05:45:22,39.97859,-82.9763,Columbus,OH,Light Freezing Drizzle,21.9,5.0,False,False,5,Monday
A-168,2,2016-02-15 06:15:54,39.95459,-83.04255,Columbus,OH,Light Snow,22.8,3.0,False,False,6,Monday
A-169,4,2016-02-15 06:18:26,39.68291,-85.97372,Indianapolis,IN,Overcast,21.2,1.8,True,False,6,Monday
A-170,2,2016-02-15 06:37:42,38.49304,-85.77156,Memphis,IN,Overcast,30.9,2.0,False,False,6,Monday
A-171,4,2016-02-15 06:57:57,38.33428,-85.82177,New Albany,IN,Overcast,30.9,2.0,False,False,6,Monday
A-172,2,2016-02-15 07:01:46,39.99921,-83.02875,Columbus,OH,Overcast,24.1,2.5,False,False,7,Monday
A-173,3,2016-02-15 07:13:27,38.53844,-85.77702,Henryville,IN,Overcast,32.0,2.0,False,False,7,Monday
A-174,2,2016-02-15 07:14:44,38.1781,-85.71946,Louisville,KY,Light Drizzle,32.0,2.0,False,False,7,Monday
A-175,2,2016-02-15 07:14:44,39.87433,-82.99882,Columbus,OH,Overcast,25.2,1.2,False,False,7,Monday
A-176,4,2016-02-15 07:34:04,41.39546,-85.32855,Kendallville,IN,Overcast,21.2,2.0,False,False,7,Monday
A-177,4,2016-02-15 07:34:04,41.39469,-85.28893000000002,Avilla,IN,Overcast,21.2,2.0,False,False,7,Monday
A-178,3,2016-02-15 07:34:04,41.90473,-83.36986,Monroe,MI,Overcast,21.2,10.0,True,False,7,Monday
A-179,4,2016-02-15 08:54:54,40.77137000000001,-84.62203000000002,Ohio City,OH,Overcast,24.1,5.0,False,False,8,Monday
A-180,4,2016-02-15 08:54:54,40.80059,-84.61374,Van Wert,OH,Overcast,24.1,5.0,False,False,8,Monday
A-181,2,2016-02-15 10:06:20,39.87433,-82.99882,Columbus,OH,Overcast,28.9,7.0,False,False,10,Monday
A-182,4,2016-02-15 10:56:40,40.78593,-84.61787,Ohio City,OH,Overcast,27.0,10.0,False,False,10,Monday
A-183,4,2016-02-15 10:56:40,40.80059,-84.61374,Van Wert,OH,Overcast,27.0,10.0,False,False,10,Monday
A-184,2,2016-02-15 11:21:10,41.67487,-83.57266,Toledo,OH,Overcast,24.3,5.0,False,False,11,Monday
A-185,2,2016-02-15 12:26:40,41.47376,-81.86113,Rocky River,OH,Overcast,30.0,10.0,False,False,12,Monday
A-186,3,2016-02-15 13:03:46,38.33465,-85.75389,Clarksville,IN,Overcast,37.0,5.0,True,False,13,Monday
A-187,2,2016-02-15 14:07:41,39.14014,-84.53495,Cincinnati,OH,Overcast,35.1,2.0,False,False,14,Monday
A-188,3,2016-02-15 14:48:00,41.80143,-85.34888000000002,Sturgis,MI,Overcast,25.7,4.0,False,False,14,Monday
A-189,2,2016-02-15 16:21:40,41.35761,-81.81988,Cleveland,OH,Overcast,33.1,7.0,False,False,16,Monday
A-190,2,2016-02-15 16:38:32,39.34392,-84.39043000000002,West Chester,OH,Overcast,35.6,0.8,False,False,16,Monday
A-191,2,2016-02-15 19:02:45,39.816154,-83.18010500000003,Orient,OH,Overcast,33.1,1.8,False,False,19,Monday
A-192,4,2016-02-15 20:46:40,38.824929,-85.47449499999998,Madison,IN,Overcast,37.0,1.5,False,False,20,Monday
A-193,4,2016-02-15 20:46:40,38.82415,-85.63794,Deputy,IN,Overcast,32.0,3.0,False,False,20,Monday
A-194,4,2016-02-15 23:04:19,40.593244,-85.150017,Keystone,IN,Overcast,29.8,7.0,False,False,23,Monday
A-195,4,2016-02-15 23:04:19,40.600487,-85.150502,Keystone,IN,Overcast,29.8,7.0,False,False,23,Monday
A-196,4,2016-02-15 23:51:06,41.19362,-80.2374,Mercer,PA,Light Snow,30.2,2.0,True,False,23,Monday
A-197,4,2016-02-16 00:29:59,40.55267,-85.14974000000002,Bryant,IN,Overcast,30.9,4.0,False,False,0,Tuesday
A-198,4,2016-02-16 00:29:59,40.56744000000001,-85.14993,Pennville,IN,Overcast,30.9,4.0,False,False,0,Tuesday
A-199,4,2016-02-16 02:45:16,40.14212,-81.55153,Kimbolton,OH,Light Snow,34.0,0.8,False,False,2,Tuesday
A-200,2,2016-02-16 04:54:40,39.94397,-82.41127,Thornville,OH,Light Snow,34.0,2.0,False,False,4,Tuesday
A-201,2,2016-02-16 04:55:56,39.96893,-83.11922,Columbus,OH,Light Snow,32.2,3.0,False,False,4,Tuesday
A-202,2,2016-02-16 06:02:12,40.6126,-80.09494000000002,Wexford,PA,Clear,32.0,7.0,False,False,6,Tuesday
A-203,3,2016-02-16 06:09:59,40.11184,-83.00883,Columbus,OH,Overcast,33.1,5.0,False,False,6,Tuesday
A-204,2,2016-02-16 06:08:42,41.06347,-81.50372,Akron,OH,Light Snow,33.1,1.0,False,False,6,Tuesday
A-205,2,2016-02-16 07:40:21,39.972931,-85.965783,Fishers,IN,Overcast,30.2,5.0,False,False,7,Tuesday
A-206,2,2016-02-16 08:12:40,39.95459,-83.04255,Columbus,OH,Overcast,32.0,2.5,False,False,8,Tuesday
A-207,3,2016-02-16 08:11:18,40.11184,-83.00883,Columbus,OH,Overcast,32.0,3.0,False,False,8,Tuesday
A-208,2,2016-02-16 08:17:49,39.97241,-82.84695,Columbus,OH,Overcast,32.0,5.0,False,False,8,Tuesday
A-209,2,2016-02-16 08:23:57,39.9912,-85.9188,Noblesville,IN,Overcast,28.4,4.0,False,False,8,Tuesday
A-210,2,2016-02-16 08:59:39,41.34965,-81.51146,Macedonia,OH,Unknown,35.1,10.0,False,False,8,Tuesday
A-211,4,2016-02-16 08:59:39,41.11987,-80.69004,Youngstown,OH,Light Freezing Drizzle,30.0,0.8,False,False,8,Tuesday
A-212,4,2016-02-16 08:59:39,41.11851,-80.69242,Youngstown,OH,Light Freezing Drizzle,30.0,0.8,False,False,8,Tuesday
A-213,2,2016-02-16 08:59:39,40.05642,-83.03097,Columbus,OH,Overcast,32.0,2.5,False,False,8,Tuesday
A-214,2,2016-02-16 09:01:58,38.117487,-85.760397,Fairdale,KY,Overcast,34.0,0.5,False,False,9,Tuesday
